Localidades Bogotá,Asociaciones de Recicladores (AR),Estaciones de Clasificación y Aprovechamiento de Residuos (ECAS),Instituciones de Educación para el Trabajo y el Desarrollo Humano (IETDH)
,25,,
ANTONIO NARIÑO,2,,6
BARRIOS UNIDOS,3,,7
BOSA,9,,2
CANDELARIA,3,,1
CHAPINERO,6,,12
CIUDAD BOLIVAR,3,,1
ENGATIVA,7,2,2
FONTIBON,6,1,7
KENNEDY,18,5,2
MARTIRES,5,1,
PUENTE ARANDA,10,2,
RAFAEL URIBE URIBE,8,,2
SAN CRISTOBAL,2,,2
SANTA FE,2,,8
SUBA,14,,6
SUMAPAZ,,,
TEUSAQUILLO,2,,11
TUNJUELITO,5,,4
USAQUEN,4,2,3
USME,4,1,1
